EmployerName,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,PropMaleLowerQuartile,PropFemaleLowerQuartile,PropMaleLowerMiddleQuartile,PropFemaleLowerMiddleQuartile,PropMaleUpperMiddleQuartile,PropFemaleUpperMiddleQuartile,PropMaleTopQuartile,PropFemaleTopQuartile,EmployerSize
THE NHS CONFEDERATION,19.4,7.4,1.8,0,8,17,0.3,0.7,0.25,0.75,0.32,0.68,0.38,0.62,0-249
The Symphony Group PLC,17.6,17.7,-2.2,-44.9,35.2,39.6,0.517,0.483,0.728,0.272,0.879,0.121,0.775,0.225,1000-4999
The White Horse Care Trust,3.1,3.2,NA,NA,0,0,0.105,0.895,0.19,0.81,0.19,0.81,0.105,0.895,250-499
TOLENT CONSTRUCTION LIMITED,33,34,62,33,16,10,0.76,0.24,0.85,0.15,0.94,0.06,0.95,0.05,250-499
TOMASZDYL PR LTD,0,0,0,0,50,50,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0-249
Torfaen County Borough Council,5.1,6.9,NA,NA,0,0,0.384,0.616,0.304,0.696,0.342,0.658,0.411,0.589,1000-4999
TOWER HAMLETS HOMES LIMITED,-9,-14.3,NA,NA,0,0,0.877,0.123,0.504,0.496,0.545,0.455,0.653,0.347,250-499
Trades Union Congress,1.7,0,NA,NA,0,0,0.53,0.47,0.41,0.59,0.43,0.57,0.56,0.44,0-249
UK-NSI CO. LIMITED,25,20.5,NA,NA,0,0,0.43,0.57,0.53,0.47,0.77,0.23,0.86,0.14,250-499
UNION OF UEA STUDENTS LIMITED,3.6,0,NA,NA,0,0,0.366,0.634,0.405,0.595,0.857,0.143,0.596,0.404,500-999
UNIVERSITY OF BIRMINGHAM GUILD OF STUDENTS,3.2,0,NA,NA,0,0,0.308,0.692,0.308,0.692,0.298,0.702,0.385,0.615,250-499
Vale of Glamorgan Council,6.2,13.9,NA,NA,0,0,0.26,0.74,0.28,0.72,0.33,0.67,0.35,0.65,1000-4999
Vision Academy Learning Trust,22.2,39.1,NA,NA,0,0,0.079,0.921,0.193,0.807,0.247,0.753,0.318,0.682,250-499
Vivacity Culture And Leisure,-2.3,-4.1,-77.6,-98,20.1,25.6,0.555,0.445,0.527,0.473,0.326,0.674,0.411,0.589,500-999
Voiceability Advocacy,2,1,NA,NA,0,0,0.37,0.63,0.24,0.76,0.21,0.79,0.37,0.63,250-499
VOYAGE 1 LIMITED,7.5,2.4,6.1,1,6.2,4.7,0.206,0.794,0.213,0.787,0.225,0.775,0.299,0.701,1000-4999
Voyage 2 Unlimited,5.2,5.8,68.7,85.1,3.4,1.9,0.108,0.892,0.14,0.86,0.194,0.806,0.194,0.806,250-499
VOYAGE LIMITED,-0.9,0.1,-5,-10.6,2.3,2.4,0.227,0.773,0.244,0.756,0.25,0.75,0.23,0.77,1000-4999
"WELLS CATHEDRAL SCHOOL, LIMITED",17.8,30,NA,NA,0,0,0.167,0.833,0.282,0.718,0.308,0.692,0.416,0.584,250-499
